ID,Device Name
7065,WSS-Backup_Server 10.100.103.61 (Windows_JDC)
10369,{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}
10375,192.168.101.234
10918,{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ]
10999,
11000,{isp-wr-gc-192-168-100-222) [MK-CCR1036-8G-2S+] @Rack_D3
10991,{isp-wr-gc-192-168-100-223} (192.168.100.223) [MK-CCRS317-1G-16S+] @
11012,{isp-wr-gc-192-168-100-224} (192.168.100.224) [MK-CRS317-1G-16S+] @
4638,{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105]
4706,{fwp-jp-172-60-60-21} (172.60.60.21) [FortiGate-80F] @Rack_02 [CDC-105]
4614,{fwp-gc-10-111-11-241} (10.111.11.241) [FortiGate-100F] @Rack_XX
4620,{fws-gc-10-111-11-242} (10.111.11.242) [FortiGate-100F] @Rack_XX
10248,{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}
9969,{TP-CAAS-101-244} (192.168.101.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX
8530,{fwp-jp-192-168-40-254} (192.168.40.254) [Fortigate-60F] @Rack_03/04 [CDC 104]
4557,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4570,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
10919,{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ]
10134,{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-]
10144,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-]
10370,{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}
10376,192.168.101.234
11013,{isp-wr-gc-192-168-100-224} (192.168.100.224) [MK-CRS317-1G-16S+] @
10992,{isp-wr-gc-192-168-100-223} (192.168.100.223) [MK-CCRS317-1G-16S+] @
4615,{fwp-gc-10-111-11-241} (10.111.11.241) [FortiGate-100F] @Rack_XX
4621,{fws-gc-10-111-11-242} (10.111.11.242) [FortiGate-100F] @Rack_XX
8459,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
9970,{TP-CAAS-101-244} (192.168.101.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX
4558,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4571,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
10371,{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}
4639,{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105]
4650,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4661,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
10016,{SFT-CAAS-10-243} (192.168.10.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18
10022,{SFT-CAAS-10-244} (192.168.10.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18
9971,{TP-CAAS-101-244} (192.168.101.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX
