Device Name,Sensor ID,Sensor Type
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],10912,SNMP Cisco System Health
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],10910,SNMP Cisco System Health
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],10945,SNMP Traffic
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],10946,SNMP Traffic
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5135,SNMP System Uptime
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5181,SNMP Custom
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5195,Syslog Receiver
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],6659,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],6661,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],6663,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],6662,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],6660,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],9925,SNMP Traffic
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],9926,SNMP Traffic
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10442,SNMP Traffic
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10464,SNMP Traffic
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10914,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10915,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10913,SNMP Cisco System Health
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10943,SNMP Traffic
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],10944,SNMP Traffic
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2435,SNMP System Uptime
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2782,Syslog Receiver
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2900,SNMP Custom
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],4688,SNMP Traffic
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],4689,SNMP Traffic
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],4684,SNMP Traffic
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],4685,SNMP Traffic
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2830,SNMP System Uptime
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2891,SNMP Cisco System Health
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2893,SNMP Cisco System Health
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2892,SNMP Cisco System Health
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2894,SNMP Cisco System Health
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2895,SNMP Cisco System Health
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2896,Syslog Receiver
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],3056,SNMP Traffic
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],3057,SNMP Traffic
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],8192,SNMP Traffic
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2829,SNMP System Uptime
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2886,SNMP Cisco System Health
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2888,SNMP Cisco System Health
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2887,SNMP Cisco System Health
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2889,SNMP Cisco System Health
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2890,SNMP Cisco System Health
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2975,Syslog Receiver
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],3060,SNMP Traffic
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],3061,SNMP Traffic
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],3058,SNMP Traffic
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],3059,SNMP Traffic
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],8193,SNMP Traffic
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3529,SNMP Traffic
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3530,Syslog Receiver
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6723,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6729,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6725,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6727,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6730,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6726,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6724,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],6728,SNMP Cisco System Health
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],7975,SNMP Traffic
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],7976,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3540,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3541,Syslog Receiver
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3554,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3555,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3556,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3557,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3558,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3560,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3561,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3562,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3563,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3564,SNMP Traffic
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3551,SNMP System Uptime
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3569,SNMP Cisco System Health
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3571,SNMP Cisco System Health
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3570,SNMP Cisco System Health
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3572,SNMP Cisco System Health
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3574,SNMP Custom
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],2595,SNMP Traffic
